target,biasedFitness,capacity,diversity,fitness,avg_eff,max_p,max_w,mean,min_p,min_w,std,p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12,p_13,p_14,p_15,p_16,p_17,p_18,p_19,p_20,p_21,p_22,p_23,p_24,p_25,p_26,p_27,p_28,p_29,p_30,p_31,p_32,p_33,p_34,p_35,p_36,p_37,p_38,p_39,p_40,p_41,p_42,p_43,p_44,p_45,p_46,p_47,p_48,p_49,w_0,w_1,w_2,w_3,w_4,w_5,w_6,w_7,w_8,w_9,w_10,w_11,w_12,w_13,w_14,w_15,w_16,w_17,w_18,w_19,w_20,w_21,w_22,w_23,w_24,w_25,w_26,w_27,w_28,w_29,w_30,w_31,w_32,w_33,w_34,w_35,w_36,w_37,w_38,w_39,w_40,w_41,w_42,w_43,w_44,w_45,w_46,w_47,w_48,w_49
MEA_KP_combined_front_1000_generations_10_PS_NS_K_3_threshold_3_Euclidean_WS_0.7_0.3_Inst_N_100_Target_GA32PS_CR_0.7_1e5Evals_rep_0.json,612.0499267578125,6617,3190.27294921875,1385.516845703125,0.5600000023841858,996.0,976.0,485.2799987792969,2.0,36.0,299.55975341796875,10,118,594,115,464,972,996,828,973,69,580,786,184,417,855,114,7,703,789,705,279,204,900,151,461,294,741,897,111,892,326,760,694,793,929,822,609,286,45,318,780,484,901,32,70,253,2,799,124,26,368,224,63,656,178,446,405,903,221,909,619,254,413,377,686,288,358,427,285,965,471,772,366,518,430,539,380,80,866,637,371,213,976,634,537,703,480,80,874,517,267,794,962,598,734,492,36,649,164,81
MEA_KP_combined_front_1000_generations_10_PS_NS_K_3_threshold_3_Euclidean_WS_0.7_0.3_Inst_N_100_Target_GA32PS_CR_0.7_1e5Evals_rep_0.json,0.0,2593,4413.84326171875,1324.153076171875,0.7299999594688416,994.0,979.0,525.969970703125,7.0,35.0,286.1180114746094,835,110,172,450,683,701,635,487,453,941,445,485,52,738,608,447,947,402,470,316,236,189,137,457,694,700,862,388,160,817,731,994,713,289,607,407,574,445,404,217,107,691,528,188,453,373,550,7,180,596,632,978,79,81,161,950,943,661,723,752,979,129,490,557,252,926,965,553,950,683,689,752,118,848,46,388,908,970,889,244,848,523,714,916,318,544,59,279,402,822,526,575,793,829,840,35,303,146,693,65
MEA_KP_combined_front_1000_generations_10_PS_NS_K_3_threshold_3_Euclidean_WS_0.7_0.3_Inst_N_100_Target_GA32PS_CR_0.7_1e5Evals_rep_0.json,612.0499267578125,6617,3190.27294921875,1385.516845703125,0.5600000023841858,996.0,976.0,485.2799987792969,2.0,36.0,299.55975341796875,10,118,594,115,464,972,996,828,973,69,580,786,184,417,855,114,7,703,789,705,279,204,900,151,461,294,741,897,111,892,326,760,694,793,929,822,609,286,45,318,780,484,901,32,70,253,2,799,124,26,368,224,63,656,178,446,405,903,221,909,619,254,413,377,686,288,358,427,285,965,471,772,366,518,430,539,380,80,866,637,371,213,976,634,537,703,480,80,874,517,267,794,962,598,734,492,36,649,164,81
MEA_KP_combined_front_1000_generations_10_PS_NS_K_3_threshold_3_Euclidean_WS_0.7_0.3_Inst_N_100_Target_GA32PS_CR_0.7_1e5Evals_rep_0.json,0.0,2593,4413.84326171875,1324.153076171875,0.7299999594688416,994.0,979.0,525.969970703125,7.0,35.0,286.1180114746094,835,110,172,450,683,701,635,487,453,941,445,485,52,738,608,447,947,402,470,316,236,189,137,457,694,700,862,388,160,817,731,994,713,289,607,407,574,445,404,217,107,691,528,188,453,373,550,7,180,596,632,978,79,81,161,950,943,661,723,752,979,129,490,557,252,926,965,553,950,683,689,752,118,848,46,388,908,970,889,244,848,523,714,916,318,544,59,279,402,822,526,575,793,829,840,35,303,146,693,65
MEA_KP_combined_front_1000_generations_10_PS_NS_K_3_threshold_3_Euclidean_WS_0.7_0.3_Inst_N_100_Target_GA32PS_CR_0.7_1e5Evals_rep_0.json,343.19970703125,11321,3134.365966796875,1180.549560546875,1.459999918937683,994.0,1000.0,524.8499755859375,7.0,10.0,300.634765625,707,110,758,989,683,701,635,454,618,961,353,485,52,738,608,259,947,402,890,119,236,754,137,457,694,417,862,836,16,808,731,994,950,518,607,229,574,445,404,217,723,800,528,953,453,373,513,7,180,692,632,978,79,776,161,950,669,629,1000,752,426,129,490,557,252,926,872,95,950,258,689,752,118,848,390,388,908,374,32,677,886,43,714,916,493,544,59,10,268,117,526,575,41,829,382,35,766,146,693,108
MEA_KP_combined_front_1000_generations_10_PS_NS_K_3_threshold_3_Euclidean_WS_0.7_0.3_Inst_N_100_Target_GA32PS_CR_0.7_1e5Evals_rep_0.json,53.4990234375,16112,3129.451904296875,976.2849731445312,1.4399999380111694,996.0,997.0,519.3099975585938,7.0,13.0,284.88995361328125,226,118,594,115,464,474,996,828,593,341,580,786,762,417,758,114,7,897,315,705,44,928,962,151,667,294,674,897,25,147,261,760,431,895,929,822,609,12,956,533,582,612,901,394,467,420,890,557,613,88,368,301,328,656,550,143,405,903,618,577,887,254,80,377,686,288,997,33,449,805,657,772,366,984,91,539,713,865,602,637,859,213,486,634,517,703,487,316,875,215,267,13,962,598,548,492,36,664,164,340
MEA_KP_combined_front_1000_generations_10_PS_NS_K_3_threshold_3_Euclidean_WS_0.7_0.3_Inst_N_100_Target_GA32PS_CR_0.7_1e5Evals_rep_0.json,-102.89999389648438,4428,3190.541748046875,885.132568359375,1.0299999713897705,994.0,1000.0,474.92999267578125,7.0,3.0,299.60528564453125,707,110,694,62,7,635,635,454,618,961,353,485,52,738,608,364,211,402,890,563,105,196,963,487,52,417,580,836,16,606,37,994,960,476,607,194,574,619,652,217,723,130,852,504,453,373,561,7,50,344,632,273,79,333,161,950,669,514,1000,752,426,129,490,582,252,926,872,95,950,528,299,675,299,964,390,388,792,374,3,415,983,43,714,916,493,44,59,268,268,802,526,711,170,988,382,35,766,255,693,31
MEA_KP_combined_front_1000_generations_10_PS_NS_K_3_threshold_3_Euclidean_WS_0.7_0.3_Inst_N_100_Target_GA32PS_CR_0.7_1e5Evals_rep_0.json,147.25,20609,2453.3125,839.0687866210938,1.2300000190734863,994.0,980.0,505.010009765625,1.0,15.0,299.8738708496094,953,476,847,530,158,184,244,853,842,796,622,233,334,1,362,704,375,602,689,174,155,556,65,10,527,577,525,882,165,940,503,273,639,994,280,483,969,912,699,67,554,211,735,740,161,678,745,510,588,189,830,426,141,382,107,895,534,602,151,517,24,160,701,129,386,847,15,980,897,953,68,658,654,219,359,828,280,534,412,161,711,908,854,899,930,632,60,142,733,819,978,205,387,788,406,929,208,508,36,207
MEA_KP_combined_front_1000_generations_10_PS_NS_K_3_threshold_3_Euclidean_WS_0.7_0.3_Inst_N_100_Target_GA32PS_CR_0.7_1e5Evals_rep_0.json,-212.150146484375,9974,3134.285888671875,791.7807006835938,0.5699999928474426,994.0,997.0,496.75,7.0,13.0,305.4769287109375,53,477,595,65,7,474,822,104,849,257,396,27,762,606,113,102,699,897,26,563,105,928,962,487,52,384,580,230,25,606,261,708,960,476,143,994,146,12,652,954,582,130,852,504,129,551,890,911,50,88,966,301,862,173,846,79,225,869,531,577,887,587,80,369,444,206,997,447,449,805,657,675,352,964,655,572,713,865,602,415,983,518,975,802,517,635,487,316,222,215,767,13,118,480,473,647,288,664,799,340
MEA_KP_combined_front_1000_generations_10_PS_NS_K_3_threshold_3_Euclidean_WS_0.7_0.3_Inst_N_100_Target_GA32PS_CR_0.7_1e5Evals_rep_0.json,-237.6494140625,14672,3163.5859375,782.72119140625,1.1200000047683716,981.0,979.0,513.760009765625,51.0,16.0,277.1549377441406,835,98,172,450,838,764,477,487,453,941,445,260,341,350,539,447,939,355,470,316,51,189,106,301,570,700,806,388,160,817,981,522,713,289,381,407,479,510,291,453,107,691,925,188,822,153,550,644,710,596,742,853,796,81,206,16,943,661,723,64,979,208,210,558,97,773,965,553,234,683,265,409,344,770,46,462,935,970,889,244,848,523,751,534,318,423,494,279,402,822,399,280,793,443,840,945,303,842,916,65
