target,biasedFitness,capacity,diversity,fitness,avg_eff,max_p,max_w,mean,min_p,min_w,std,p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12,p_13,p_14,p_15,p_16,p_17,p_18,p_19,p_20,p_21,p_22,p_23,p_24,p_25,p_26,p_27,p_28,p_29,p_30,p_31,p_32,p_33,p_34,p_35,p_36,p_37,p_38,p_39,p_40,p_41,p_42,p_43,p_44,p_45,p_46,p_47,p_48,p_49,w_0,w_1,w_2,w_3,w_4,w_5,w_6,w_7,w_8,w_9,w_10,w_11,w_12,w_13,w_14,w_15,w_16,w_17,w_18,w_19,w_20,w_21,w_22,w_23,w_24,w_25,w_26,w_27,w_28,w_29,w_30,w_31,w_32,w_33,w_34,w_35,w_36,w_37,w_38,w_39,w_40,w_41,w_42,w_43,w_44,w_45,w_46,w_47,w_48,w_49
MEA_KP_combined_front_1000_generations_10_PS_NS_K_3_threshold_3_Euclidean_WS_1_0_Inst_N_100_Target_GA32PS_CR_0.7_1e5Evals_rep_0.json,687.599609375,8912,2191.56884765625,687.599609375,1.4799998998641968,988.0,997.0,507.07000732421875,3.0,13.0,276.6850891113281,230,481,556,364,768,366,629,901,683,386,664,177,902,405,494,618,796,568,970,24,802,373,470,892,455,303,611,613,686,988,394,744,564,256,432,650,737,6,261,393,441,465,771,745,3,39,868,153,636,464,322,53,119,447,253,321,561,988,324,273,592,388,191,656,450,406,544,154,418,406,271,997,57,505,33,649,658,916,510,965,30,848,51,565,932,433,818,290,777,579,971,462,13,800,591,162,975,839,179,768
MEA_KP_combined_front_1000_generations_10_PS_NS_K_3_threshold_3_Euclidean_WS_1_0_Inst_N_100_Target_GA32PS_CR_0.7_1e5Evals_rep_0.json,1050.099853515625,4333,0.0,1050.099853515625,0.8700000047683716,970.0,975.0,502.1199951171875,3.0,33.0,273.3799743652344,230,481,833,936,482,230,629,588,683,386,664,177,902,957,494,618,318,783,970,24,802,231,470,101,597,303,721,613,686,807,33,744,564,256,498,790,737,632,261,393,609,465,771,745,3,39,868,153,636,464,243,53,119,447,152,825,561,284,324,733,433,271,191,521,61,828,544,396,418,406,643,441,57,341,958,33,658,205,916,830,636,848,51,565,212,433,818,290,777,451,971,462,245,800,591,648,975,223,179,768
MEA_KP_combined_front_1000_generations_10_PS_NS_K_3_threshold_3_Euclidean_WS_1_0_Inst_N_100_Target_GA32PS_CR_0.7_1e5Evals_rep_0.json,687.599609375,8912,2191.56884765625,687.599609375,1.4799998998641968,988.0,997.0,507.07000732421875,3.0,13.0,276.6850891113281,230,481,556,364,768,366,629,901,683,386,664,177,902,405,494,618,796,568,970,24,802,373,470,892,455,303,611,613,686,988,394,744,564,256,432,650,737,6,261,393,441,465,771,745,3,39,868,153,636,464,322,53,119,447,253,321,561,988,324,273,592,388,191,656,450,406,544,154,418,406,271,997,57,505,33,649,658,916,510,965,30,848,51,565,932,433,818,290,777,579,971,462,13,800,591,162,975,839,179,768
MEA_KP_combined_front_1000_generations_10_PS_NS_K_3_threshold_3_Euclidean_WS_1_0_Inst_N_100_Target_GA32PS_CR_0.7_1e5Evals_rep_0.json,257.44921875,19982,3474.302734375,257.44921875,0.8100000023841858,978.0,996.0,494.0299987792969,23.0,33.0,303.2100524902344,689,35,833,936,482,230,883,588,501,873,243,23,864,957,594,27,318,783,134,840,656,231,73,101,597,978,321,452,850,807,33,317,739,800,498,955,333,632,818,117,128,378,685,484,758,133,69,357,742,105,896,902,727,717,152,825,929,284,254,733,433,271,33,369,61,828,223,396,947,384,643,441,113,91,958,638,493,205,916,830,636,313,629,299,212,420,137,456,996,451,975,46,245,910,269,648,443,223,315,108
MEA_KP_combined_front_1000_generations_10_PS_NS_K_3_threshold_3_Euclidean_WS_1_0_Inst_N_100_Target_GA32PS_CR_0.7_1e5Evals_rep_0.json,280.64996337890625,7180,2240.052490234375,280.64996337890625,1.5499999523162842,992.0,994.0,530.6400146484375,12.0,6.0,295.0017395019531,923,200,813,950,20,779,379,631,781,683,231,29,649,309,436,922,646,557,833,574,992,800,89,271,176,699,721,711,297,684,768,491,604,914,325,933,684,175,663,800,12,24,155,629,391,315,519,262,372,914,35,639,476,846,346,829,603,162,912,59,541,994,664,404,394,933,191,904,327,183,577,456,465,576,848,747,57,114,981,920,599,49,837,804,730,641,725,264,273,375,221,475,938,419,173,523,180,990,6,924
MEA_KP_combined_front_1000_generations_10_PS_NS_K_3_threshold_3_Euclidean_WS_1_0_Inst_N_100_Target_GA32PS_CR_0.7_1e5Evals_rep_0.json,60.1005859375,11109,1527.5361328125,60.1005859375,2.4700000286102295,990.0,996.0,529.1199951171875,24.0,13.0,297.285400390625,230,481,984,808,482,230,883,588,683,873,243,177,902,957,990,27,796,783,256,24,285,231,472,892,597,978,536,613,850,807,33,873,564,256,432,790,737,632,818,393,609,607,685,961,758,39,69,457,636,464,243,53,727,519,152,825,929,988,266,733,433,271,33,521,14,406,544,396,418,318,643,441,349,341,958,33,493,550,790,85,636,313,51,595,459,925,818,456,996,579,975,46,13,800,514,648,975,223,179,768
MEA_KP_combined_front_1000_generations_10_PS_NS_K_3_threshold_3_Euclidean_WS_1_0_Inst_N_100_Target_GA32PS_CR_0.7_1e5Evals_rep_0.json,16.25,13333,1522.249267578125,16.25,1.459999918937683,984.0,996.0,496.5,20.0,13.0,291.7485656738281,923,481,984,950,20,230,544,493,683,246,231,177,649,957,470,27,72,557,833,24,561,324,89,892,597,409,721,711,303,684,768,873,167,256,325,790,737,175,818,938,609,607,155,629,391,39,529,457,636,464,243,53,476,846,152,825,652,988,313,783,673,271,59,521,394,933,544,533,418,318,643,441,349,169,848,33,493,114,568,85,13,313,360,595,459,925,818,264,996,946,837,46,920,800,514,648,180,126,179,768
MEA_KP_combined_front_1000_generations_10_PS_NS_K_3_threshold_3_Euclidean_WS_1_0_Inst_N_100_Target_GA32PS_CR_0.7_1e5Evals_rep_0.json,62.0498046875,12479,1133.376708984375,62.0498046875,1.71999990940094,978.0,988.0,509.1700134277344,20.0,13.0,297.11474609375,230,481,813,950,20,230,544,588,781,873,243,29,649,957,470,922,72,783,256,24,285,231,472,862,176,978,536,711,850,807,33,873,564,356,432,790,684,632,818,938,609,786,685,961,758,39,529,628,636,464,243,639,727,846,902,825,652,988,266,733,673,271,59,404,394,933,212,396,418,183,643,613,188,169,848,33,57,114,790,920,13,313,51,329,459,452,607,456,273,579,837,46,13,800,514,648,180,223,179,768
MEA_KP_combined_front_1000_generations_10_PS_NS_K_3_threshold_3_Euclidean_WS_1_0_Inst_N_100_Target_GA32PS_CR_0.7_1e5Evals_rep_0.json,452.45001220703125,6012,1170.921875,452.45001220703125,1.2799999713897705,974.0,975.0,457.4700012207031,3.0,1.0,268.74945068359375,108,481,556,563,768,366,629,282,683,386,664,177,329,974,494,618,796,387,481,24,802,402,470,892,455,303,611,613,686,779,82,744,564,522,432,56,359,6,501,393,441,101,670,745,3,39,711,452,636,464,693,53,49,447,18,321,561,611,72,273,592,830,191,665,915,406,363,891,418,798,880,572,395,505,158,751,658,916,149,158,30,221,46,454,216,328,818,290,777,233,516,462,124,237,1,189,975,839,214,768
MEA_KP_combined_front_1000_generations_10_PS_NS_K_3_threshold_3_Euclidean_WS_1_0_Inst_N_100_Target_GA32PS_CR_0.7_1e5Evals_rep_0.json,282.35009765625,12855,1052.7366943359375,282.35009765625,2.200000047683716,992.0,997.0,505.20001220703125,6.0,6.0,296.9378662109375,230,200,813,950,20,366,629,631,781,386,231,29,649,405,494,618,646,557,970,574,992,373,89,892,455,303,721,613,297,684,768,744,564,914,325,933,737,6,663,393,441,465,771,629,391,39,868,153,636,914,35,53,476,447,346,321,603,162,912,59,541,994,191,404,450,933,544,904,327,406,577,997,57,576,33,649,57,114,510,965,30,848,51,565,932,433,818,264,273,375,971,462,938,419,591,162,180,839,6,768
