target,biasedFitness,capacity,diversity,fitness,avg_eff,max_p,max_w,mean,min_p,min_w,std,p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12,p_13,p_14,p_15,p_16,p_17,p_18,p_19,p_20,p_21,p_22,p_23,p_24,p_25,p_26,p_27,p_28,p_29,p_30,p_31,p_32,p_33,p_34,p_35,p_36,p_37,p_38,p_39,p_40,p_41,p_42,p_43,p_44,p_45,p_46,p_47,p_48,p_49,w_0,w_1,w_2,w_3,w_4,w_5,w_6,w_7,w_8,w_9,w_10,w_11,w_12,w_13,w_14,w_15,w_16,w_17,w_18,w_19,w_20,w_21,w_22,w_23,w_24,w_25,w_26,w_27,w_28,w_29,w_30,w_31,w_32,w_33,w_34,w_35,w_36,w_37,w_38,w_39,w_40,w_41,w_42,w_43,w_44,w_45,w_46,w_47,w_48,w_49
MEA_KP_combined_front_1000_generations_10_PS_NS_K_3_threshold_3_Euclidean_WS_0_1_Inst_N_100_Target_GA32PS_CR_0.7_1e5Evals_rep_0.json,-173.2998046875,25959,7097.68359375,7097.68359375,0.85999995470047,941.0,995.0,531.9600219726562,14.0,19.0,289.5719909667969,337,432,941,894,708,353,625,143,148,191,480,164,14,372,237,788,630,736,205,160,773,585,545,383,922,928,877,291,155,515,88,682,853,403,853,241,654,553,288,20,217,288,520,806,885,666,579,532,316,664,918,769,444,943,19,735,175,679,118,995,993,899,532,162,119,67,955,278,265,807,830,501,222,527,389,754,579,740,995,140,949,784,914,677,892,526,396,239,789,529,717,934,781,263,138,664,673,305,105,732
MEA_KP_combined_front_1000_generations_10_PS_NS_K_3_threshold_3_Euclidean_WS_0_1_Inst_N_100_Target_GA32PS_CR_0.7_1e5Evals_rep_0.json,-457.05078125,23255,5295.0009765625,5295.0009765625,0.7299999594688416,992.0,995.0,539.5,16.0,20.0,279.3288269042969,783,930,869,778,243,890,31,485,503,973,318,799,796,372,194,467,66,259,205,356,773,585,545,917,234,115,877,291,155,515,680,682,917,539,374,241,269,553,288,192,217,941,389,850,574,376,16,532,580,992,918,769,444,397,732,20,297,679,908,995,44,899,735,162,119,519,455,278,265,807,830,350,552,919,373,765,980,451,282,430,775,674,914,811,723,341,418,239,789,474,880,934,781,569,165,588,673,305,744,253
MEA_KP_combined_front_1000_generations_10_PS_NS_K_3_threshold_3_Euclidean_WS_0_1_Inst_N_100_Target_GA32PS_CR_0.7_1e5Evals_rep_0.json,-173.2998046875,25959,7097.68359375,7097.68359375,0.85999995470047,941.0,995.0,531.9600219726562,14.0,19.0,289.5719909667969,337,432,941,894,708,353,625,143,148,191,480,164,14,372,237,788,630,736,205,160,773,585,545,383,922,928,877,291,155,515,88,682,853,403,853,241,654,553,288,20,217,288,520,806,885,666,579,532,316,664,918,769,444,943,19,735,175,679,118,995,993,899,532,162,119,67,955,278,265,807,830,501,222,527,389,754,579,740,995,140,949,784,914,677,892,526,396,239,789,529,717,934,781,263,138,664,673,305,105,732
MEA_KP_combined_front_1000_generations_10_PS_NS_K_3_threshold_3_Euclidean_WS_0_1_Inst_N_100_Target_GA32PS_CR_0.7_1e5Evals_rep_0.json,-457.05078125,23255,5295.0009765625,5295.0009765625,0.7299999594688416,992.0,995.0,539.5,16.0,20.0,279.3288269042969,783,930,869,778,243,890,31,485,503,973,318,799,796,372,194,467,66,259,205,356,773,585,545,917,234,115,877,291,155,515,680,682,917,539,374,241,269,553,288,192,217,941,389,850,574,376,16,532,580,992,918,769,444,397,732,20,297,679,908,995,44,899,735,162,119,519,455,278,265,807,830,350,552,919,373,765,980,451,282,430,775,674,914,811,723,341,418,239,789,474,880,934,781,569,165,588,673,305,744,253
MEA_KP_combined_front_1000_generations_10_PS_NS_K_3_threshold_3_Euclidean_WS_0_1_Inst_N_100_Target_GA32PS_CR_0.7_1e5Evals_rep_0.json,0.0,2438,4490.9697265625,4490.9697265625,8.289999961853027,983.0,995.0,542.4500122070312,14.0,1.0,279.1786193847656,944,487,941,549,857,353,625,742,884,44,294,409,14,127,929,173,983,321,250,160,202,565,892,117,825,719,529,505,857,206,872,105,853,457,215,779,829,715,670,338,879,874,302,603,227,847,526,424,737,664,807,949,811,148,383,759,509,269,118,188,554,440,532,573,777,67,955,671,200,677,680,501,689,528,922,216,579,320,995,402,940,860,992,536,892,1,396,491,169,529,717,380,662,95,688,664,494,430,507,164
MEA_KP_combined_front_1000_generations_10_PS_NS_K_3_threshold_3_Euclidean_WS_0_1_Inst_N_100_Target_GA32PS_CR_0.7_1e5Evals_rep_0.json,553.0498046875,16800,4029.255859375,4029.255859375,1.0099999904632568,992.0,995.0,461.29998779296875,16.0,20.0,269.592529296875,337,432,779,778,511,890,31,148,148,191,480,799,796,755,455,63,488,384,205,538,973,859,545,383,234,115,877,721,155,515,88,682,374,206,374,241,269,553,407,192,326,419,389,806,574,666,16,555,316,992,188,429,512,397,732,20,297,274,908,995,993,899,735,162,119,302,455,82,265,58,804,487,552,919,389,765,111,886,282,186,739,674,216,677,723,341,418,239,79,284,304,648,622,263,364,418,673,218,744,253
MEA_KP_combined_front_1000_generations_10_PS_NS_K_3_threshold_3_Euclidean_WS_0_1_Inst_N_100_Target_GA32PS_CR_0.7_1e5Evals_rep_0.json,-267.5009765625,16530,3849.02490234375,3849.02490234375,0.8899999856948853,983.0,992.0,543.280029296875,16.0,17.0,283.07928466796875,783,719,429,778,857,661,64,742,503,973,906,799,842,127,929,63,983,384,98,740,767,859,774,232,234,115,529,721,864,485,872,887,95,206,374,962,829,204,407,823,326,419,302,878,227,671,16,805,580,508,493,594,512,67,383,759,509,274,554,791,44,250,194,17,133,594,440,679,623,58,804,567,552,919,373,216,980,320,974,402,940,643,992,945,948,323,418,279,722,474,304,375,654,797,688,430,684,430,507,349
MEA_KP_combined_front_1000_generations_10_PS_NS_K_3_threshold_3_Euclidean_WS_0_1_Inst_N_100_Target_GA32PS_CR_0.7_1e5Evals_rep_0.json,-233.39996337890625,6008,3107.12255859375,3107.12255859375,5.279999732971191,884.0,995.0,449.1099853515625,2.0,1.0,286.3727722167969,448,487,841,655,484,255,625,560,676,588,672,409,410,437,237,788,121,876,4,160,253,136,175,117,792,719,272,4,857,206,406,28,2,403,385,224,654,590,670,20,879,288,615,603,884,847,237,424,870,586,807,949,218,148,19,735,3,285,553,188,551,440,554,573,650,67,45,671,57,386,680,501,114,267,126,482,82,740,995,757,949,977,357,975,172,1,396,491,79,529,717,380,662,95,460,870,494,567,105,113
MEA_KP_combined_front_1000_generations_10_PS_NS_K_3_threshold_3_Euclidean_WS_0_1_Inst_N_100_Target_GA32PS_CR_0.7_1e5Evals_rep_0.json,0.0,4516,3106.130859375,3106.130859375,8.779999732971191,986.0,995.0,503.1300048828125,4.0,1.0,288.7704772949219,791,487,941,655,708,353,625,143,676,588,294,409,14,18,237,788,630,736,250,160,202,640,378,117,792,719,272,4,857,206,406,28,853,403,853,779,654,715,670,20,879,288,520,603,884,847,307,424,986,664,807,949,811,148,19,735,175,269,118,188,209,440,532,573,585,67,955,671,200,386,680,501,222,291,898,934,579,740,995,140,949,860,534,536,892,1,396,491,169,529,717,380,662,95,138,664,494,679,105,732
MEA_KP_combined_front_1000_generations_10_PS_NS_K_3_threshold_3_Euclidean_WS_0_1_Inst_N_100_Target_GA32PS_CR_0.7_1e5Evals_rep_0.json,-176.0,21274,2677.7099609375,2677.7099609375,0.3400000035762787,973.0,995.0,544.8900146484375,14.0,44.0,269.54229736328125,783,432,941,778,708,890,31,143,148,973,480,799,14,372,237,467,630,259,205,160,773,585,545,383,922,928,877,291,155,515,88,682,853,403,853,241,654,553,288,192,217,288,389,806,574,376,579,532,580,664,918,769,444,943,732,735,175,679,908,995,44,899,532,162,119,519,455,278,265,807,830,501,552,919,373,754,579,451,282,430,949,784,914,811,723,341,396,239,789,529,717,934,781,569,165,588,673,305,744,253
MEA_KP_combined_front_1000_generations_10_PS_NS_K_3_threshold_3_Euclidean_WS_0_1_Inst_N_100_Target_GA32PS_CR_0.7_1e5Evals_rep_0.json,286.4501953125,10877,1860.7646484375,1860.7646484375,10.239999771118164,986.0,995.0,485.6300048828125,14.0,1.0,288.87713623046875,791,487,941,549,708,353,625,742,676,588,906,409,14,18,929,173,983,736,250,740,767,565,378,117,825,29,272,505,40,55,406,105,853,457,215,962,654,715,670,20,88,288,302,603,227,671,307,424,986,508,807,594,723,148,383,735,509,269,118,188,554,250,293,573,777,67,440,679,200,677,752,567,222,291,922,216,522,740,995,140,940,643,534,945,948,1,60,526,169,974,405,375,654,95,688,430,494,430,105,164
MEA_KP_combined_front_1000_generations_10_PS_NS_K_3_threshold_3_Euclidean_WS_0_1_Inst_N_100_Target_GA32PS_CR_0.7_1e5Evals_rep_0.json,-189.5,28233,4211.896484375,4211.896484375,0.6599999666213989,983.0,995.0,558.9600219726562,14.0,19.0,290.9979553222656,337,487,429,549,708,353,625,143,676,44,294,164,14,127,237,788,983,736,250,160,202,640,378,232,922,928,877,291,155,55,872,682,853,403,853,241,654,384,288,20,88,874,520,806,885,847,579,805,737,664,807,949,811,943,19,735,175,679,554,995,993,440,532,573,777,594,955,278,375,386,752,567,222,527,389,934,579,740,995,140,949,860,992,536,892,526,396,239,169,974,717,934,654,263,688,664,673,679,105,732
