target,biasedFitness,capacity,diversity,fitness,avg_eff,max_p,max_w,mean,min_p,min_w,std,p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12,p_13,p_14,p_15,p_16,p_17,p_18,p_19,p_20,p_21,p_22,p_23,p_24,p_25,p_26,p_27,p_28,p_29,p_30,p_31,p_32,p_33,p_34,p_35,p_36,p_37,p_38,p_39,p_40,p_41,p_42,p_43,p_44,p_45,p_46,p_47,p_48,p_49,w_0,w_1,w_2,w_3,w_4,w_5,w_6,w_7,w_8,w_9,w_10,w_11,w_12,w_13,w_14,w_15,w_16,w_17,w_18,w_19,w_20,w_21,w_22,w_23,w_24,w_25,w_26,w_27,w_28,w_29,w_30,w_31,w_32,w_33,w_34,w_35,w_36,w_37,w_38,w_39,w_40,w_41,w_42,w_43,w_44,w_45,w_46,w_47,w_48,w_49
MEA_KP_combined_front_1000_generations_10_PS_NS_K_3_threshold_3_Euclidean_WS_0.3_0.7_Inst_N_100_Target_GA32PS_CR_0.7_1e5Evals_rep_0.json,-182.05029296875,25389,8301.107421875,5756.15966796875,0.5399999618530273,986.0,996.0,509.5799865722656,4.0,35.0,280.58392333984375,706,832,865,311,667,211,515,34,69,694,108,290,832,791,370,526,607,746,771,260,133,4,734,182,651,256,733,351,428,542,743,118,659,202,315,425,134,109,93,112,445,301,986,873,274,794,829,403,349,647,726,926,766,357,990,439,772,325,753,70,466,205,931,469,860,267,671,497,256,587,811,737,934,932,533,811,422,762,428,662,69,764,442,35,591,572,972,656,72,504,392,295,802,824,673,173,996,56,379,296
MEA_KP_combined_front_1000_generations_10_PS_NS_K_3_threshold_3_Euclidean_WS_0.3_0.7_Inst_N_100_Target_GA32PS_CR_0.7_1e5Evals_rep_0.json,0.0,2346,4454.572265625,3118.200439453125,0.5399999618530273,995.0,990.0,518.489990234375,11.0,30.0,294.529052734375,89,340,287,738,917,211,657,11,985,694,906,691,367,791,982,493,913,353,995,143,828,748,734,182,98,944,645,646,308,218,673,955,667,202,315,425,88,109,93,731,129,493,730,54,885,794,224,403,316,832,726,141,934,325,990,432,777,542,753,70,350,805,483,819,837,964,588,837,256,273,627,351,314,30,573,325,849,985,554,97,489,268,611,100,591,572,972,407,72,504,392,295,222,633,886,385,212,924,379,296
MEA_KP_combined_front_1000_generations_10_PS_NS_K_3_threshold_3_Euclidean_WS_0.3_0.7_Inst_N_100_Target_GA32PS_CR_0.7_1e5Evals_rep_0.json,-182.05029296875,25389,8301.107421875,5756.15966796875,0.5399999618530273,986.0,996.0,509.5799865722656,4.0,35.0,280.58392333984375,706,832,865,311,667,211,515,34,69,694,108,290,832,791,370,526,607,746,771,260,133,4,734,182,651,256,733,351,428,542,743,118,659,202,315,425,134,109,93,112,445,301,986,873,274,794,829,403,349,647,726,926,766,357,990,439,772,325,753,70,466,205,931,469,860,267,671,497,256,587,811,737,934,932,533,811,422,762,428,662,69,764,442,35,591,572,972,656,72,504,392,295,802,824,673,173,996,56,379,296
MEA_KP_combined_front_1000_generations_10_PS_NS_K_3_threshold_3_Euclidean_WS_0.3_0.7_Inst_N_100_Target_GA32PS_CR_0.7_1e5Evals_rep_0.json,0.0,2346,4454.572265625,3118.200439453125,0.5399999618530273,995.0,990.0,518.489990234375,11.0,30.0,294.529052734375,89,340,287,738,917,211,657,11,985,694,906,691,367,791,982,493,913,353,995,143,828,748,734,182,98,944,645,646,308,218,673,955,667,202,315,425,88,109,93,731,129,493,730,54,885,794,224,403,316,832,726,141,934,325,990,432,777,542,753,70,350,805,483,819,837,964,588,837,256,273,627,351,314,30,573,325,849,985,554,97,489,268,611,100,591,572,972,407,72,504,392,295,222,633,886,385,212,924,379,296
MEA_KP_combined_front_1000_generations_10_PS_NS_K_3_threshold_3_Euclidean_WS_0.3_0.7_Inst_N_100_Target_GA32PS_CR_0.7_1e5Evals_rep_0.json,-100.900390625,19550,4408.552734375,3055.716796875,3.0999999046325684,995.0,990.0,502.92999267578125,11.0,4.0,287.7513122558594,139,340,832,738,667,60,283,11,32,650,530,861,367,791,370,493,722,386,995,837,892,748,734,470,98,700,733,646,780,170,743,40,861,441,315,425,369,312,342,496,744,301,730,654,218,794,783,403,492,860,558,51,158,752,990,439,476,293,900,70,432,805,617,74,837,964,678,831,663,509,627,23,803,4,438,325,62,297,256,981,462,847,26,740,591,572,972,18,236,504,392,309,222,881,806,528,19,56,309,492
MEA_KP_combined_front_1000_generations_10_PS_NS_K_3_threshold_3_Euclidean_WS_0.3_0.7_Inst_N_100_Target_GA32PS_CR_0.7_1e5Evals_rep_0.json,405.89996337890625,3383,3763.74365234375,2756.390625,1.5799999237060547,985.0,935.0,431.92999267578125,6.0,7.0,283.0866394042969,213,585,779,918,318,565,557,6,879,927,696,985,63,421,54,665,539,278,7,616,39,7,797,981,677,243,247,46,747,457,403,863,837,550,580,293,949,695,571,579,572,549,42,896,441,264,131,465,490,103,312,93,681,224,404,291,644,500,488,78,367,84,599,184,871,500,168,832,235,408,83,303,487,427,587,92,7,144,335,917,589,35,534,206,908,289,159,32,187,96,935,732,495,379,306,115,501,362,144,259
MEA_KP_combined_front_1000_generations_10_PS_NS_K_3_threshold_3_Euclidean_WS_0.3_0.7_Inst_N_100_Target_GA32PS_CR_0.7_1e5Evals_rep_0.json,-171.44998168945312,6906,3761.82568359375,2581.8427734375,0.7699999809265137,994.0,946.0,504.6199951171875,4.0,21.0,287.54486083984375,431,832,604,311,250,791,965,34,867,784,108,231,832,670,129,526,810,309,771,260,133,4,527,224,651,945,916,741,580,557,541,118,659,719,508,643,501,994,837,482,80,84,986,789,274,392,86,120,349,182,709,762,716,620,135,252,926,105,105,657,466,592,931,469,803,170,698,331,266,692,901,737,447,932,473,887,325,540,428,292,355,764,21,946,379,174,125,656,880,711,122,425,802,677,673,173,221,168,604,82
MEA_KP_combined_front_1000_generations_10_PS_NS_K_3_threshold_3_Euclidean_WS_0.3_0.7_Inst_N_100_Target_GA32PS_CR_0.7_1e5Evals_rep_0.json,-238.900390625,17193,3531.39404296875,2400.3056640625,1.1699999570846558,985.0,985.0,478.75,11.0,19.0,265.3687744140625,89,340,287,432,917,211,657,11,985,694,530,691,284,436,370,493,680,746,760,143,889,404,888,182,119,700,645,646,308,542,743,40,861,202,315,425,369,57,707,112,340,493,730,873,254,397,829,403,379,626,726,926,158,325,540,432,476,542,19,209,717,966,483,985,448,640,671,497,256,587,627,677,178,30,645,394,422,762,554,97,69,847,627,100,591,882,90,407,72,504,392,230,222,633,171,528,212,924,379,772
MEA_KP_combined_front_1000_generations_10_PS_NS_K_3_threshold_3_Euclidean_WS_0.3_0.7_Inst_N_100_Target_GA32PS_CR_0.7_1e5Evals_rep_0.json,-570.900390625,14521,2841.71826171875,1817.9326171875,0.7899999618530273,981.0,954.0,488.3999938964844,6.0,30.0,296.89422607421875,213,585,779,918,945,139,170,6,879,41,750,103,625,587,54,665,759,278,52,616,757,438,797,981,919,243,247,46,631,544,511,863,837,788,580,293,949,695,843,579,956,510,154,896,441,264,36,465,490,103,808,93,195,640,404,291,644,704,270,78,367,948,804,269,649,500,168,954,235,408,83,303,382,427,587,92,56,144,335,917,589,789,534,206,908,289,159,124,701,661,935,732,911,379,420,30,501,794,144,259
MEA_KP_combined_front_1000_generations_10_PS_NS_K_3_threshold_3_Euclidean_WS_0.3_0.7_Inst_N_100_Target_GA32PS_CR_0.7_1e5Evals_rep_0.json,302.55029296875,11629,1504.2952880859375,1143.7718505859375,2.879999876022339,975.0,923.0,459.1499938964844,21.0,4.0,287.69989013671875,150,610,750,114,760,975,247,149,32,650,949,861,731,524,21,261,722,386,291,837,892,843,95,470,162,59,835,471,123,170,799,490,168,441,567,562,951,312,342,496,401,358,656,654,218,849,783,56,492,860,558,51,366,752,641,676,763,612,15,274,432,297,233,894,290,26,678,831,663,509,186,23,803,4,438,785,62,297,801,567,462,798,26,740,491,428,190,351,236,59,93,309,420,109,806,923,19,625,216,492
MEA_KP_combined_front_1000_generations_10_PS_NS_K_3_threshold_3_Euclidean_WS_0.3_0.7_Inst_N_100_Target_GA32PS_CR_0.7_1e5Evals_rep_0.json,176.85009765625,11561,1503.5491943359375,1105.5394287109375,0.8100000023841858,965.0,981.0,483.3999938964844,9.0,17.0,279.9748229980469,706,389,865,311,377,254,965,34,867,784,938,290,832,670,129,690,810,414,388,260,133,741,527,195,651,256,394,741,225,191,541,21,904,224,508,643,501,852,837,859,80,84,365,166,274,392,86,9,349,182,145,762,766,620,17,252,926,313,57,657,513,205,452,469,860,170,334,331,266,692,811,981,447,932,533,811,325,540,929,436,355,326,442,946,658,174,231,656,880,312,122,425,802,677,673,42,865,364,480,454
MEA_KP_combined_front_1000_generations_10_PS_NS_K_3_threshold_3_Euclidean_WS_0.3_0.7_Inst_N_100_Target_GA32PS_CR_0.7_1e5Evals_rep_0.json,-1219.350341796875,10107,2060.63720703125,1076.640869140625,0.9399999976158142,994.0,985.0,532.780029296875,21.0,19.0,293.9832763671875,431,987,571,152,250,555,657,949,985,191,938,231,787,372,982,554,680,414,388,962,889,404,888,195,119,945,645,536,580,218,673,21,667,224,62,413,88,994,707,859,340,84,365,54,254,731,224,120,316,832,709,626,716,620,540,922,777,105,19,703,513,966,452,985,448,640,698,425,638,273,806,981,178,30,573,887,849,985,929,292,355,268,627,946,364,76,231,626,623,711,678,230,968,633,171,385,212,364,588,454
